"rules","support","confidence","lift"
"{A3,AB4,R3,Y4} => {I4}",0.20253164556962,0.8,2.43076923076923
"{A3,U4} => {Z4}",0.20253164556962,0.666666666666667,2.39393939393939
"{AB4,U4,Y4} => {AD4}",0.20253164556962,0.695652173913043,2.38941398865784
"{A3,U4,Y4} => {AD4}",0.20253164556962,0.695652173913043,2.38941398865784
"{AD4} => {T4}",0.227848101265823,0.782608695652174,2.37792642140468
"{T4} => {AD4}",0.227848101265823,0.692307692307692,2.37792642140468
"{AB4,I4} => {X4}",0.227848101265823,0.782608695652174,2.37792642140468
"{AB4,R3,Y4} => {I4}",0.227848101265823,0.782608695652174,2.37792642140468
"{A3,AB4,Y4} => {M4}",0.215189873417722,0.62962962962963,2.36860670194004
"{AD4,Y4} => {T4}",0.215189873417722,0.772727272727273,2.3479020979021
"{X4,Y4} => {I4}",0.215189873417722,0.772727272727273,2.3479020979021
"{AB4,K4} => {X4}",0.215189873417722,0.772727272727273,2.3479020979021
"{AB4,K4} => {I4}",0.215189873417722,0.772727272727273,2.3479020979021
"{AB4,I4,Y4} => {X4}",0.215189873417722,0.772727272727273,2.3479020979021
"{U4,Y4} => {N4}",0.20253164556962,0.592592592592593,2.34074074074074
"{AB4,U4} => {AD4}",0.215189873417722,0.68,2.33565217391304
"{AB4,AF4} => {AE4}",0.215189873417722,0.944444444444444,2.33159722222222
"{AG4,T4} => {U4}",0.215189873417722,0.944444444444444,2.33159722222222
"{AF4,AG4} => {AE4}",0.20253164556962,0.941176470588235,2.32352941176471
"{AB4,AD4,AG4} => {AE4}",0.20253164556962,0.941176470588235,2.32352941176471
"{AB4,AF4,Y4} => {AE4}",0.20253164556962,0.941176470588235,2.32352941176471
"{AB4,AG4,T4} => {U4}",0.20253164556962,0.941176470588235,2.32352941176471
"{AG4,T4,Y4} => {U4}",0.20253164556962,0.941176470588235,2.32352941176471
"{AB4,AG4,T4} => {AE4}",0.20253164556962,0.941176470588235,2.32352941176471
"{I4} => {M4}",0.20253164556962,0.615384615384615,2.31501831501832
"{AB4,AE4} => {M4}",0.20253164556962,0.615384615384615,2.31501831501832
"{M4} => {I4}",0.20253164556962,0.761904761904762,2.31501831501831
"{AB4,M4} => {I4}",0.20253164556962,0.761904761904762,2.31501831501831
"{M4,Y4} => {I4}",0.20253164556962,0.761904761904762,2.31501831501831
"{A3,X4} => {I4}",0.20253164556962,0.761904761904762,2.31501831501831
"{A3,I4} => {X4}",0.20253164556962,0.761904761904762,2.31501831501831
"{AB4,M4,Y4} => {I4}",0.20253164556962,0.761904761904762,2.31501831501831
"{A3,I4,Y4} => {X4}",0.20253164556962,0.761904761904762,2.31501831501831
"{AB4,K4,Y4} => {X4}",0.20253164556962,0.761904761904762,2.31501831501831
"{AB4,K4,Y4} => {I4}",0.20253164556962,0.761904761904762,2.31501831501831
"{AB4,AG4,R3} => {I4}",0.20253164556962,0.761904761904762,2.31501831501831
"{AB4,R3} => {I4}",0.240506329113924,0.76,2.30923076923077
"{AB4,U4} => {T4}",0.240506329113924,0.76,2.30923076923077
"{AB4,U4} => {Z4}",0.20253164556962,0.64,2.29818181818182
"{AG4,R3,Y4} => {Z4}",0.20253164556962,0.64,2.29818181818182
"{U4,Y4} => {AD4}",0.227848101265823,0.666666666666667,2.28985507246377
"{A3,U4} => {AD4}",0.20253164556962,0.666666666666667,2.28985507246377
"{A3,AB4} => {M4}",0.215189873417722,0.607142857142857,2.28401360544218
"{U4,Y4} => {Z4}",0.215189873417722,0.62962962962963,2.26094276094276
"{M4} => {AB4}",0.265822784810127,1,2.25714285714286
